rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
585.0,3382.0,5.8,30.0,15.0,84.0,5.6,0.0,73.0,235.0,4.38,25.0,33.5,128.0,7.005,4.23,21.0,0,2009
584.0,2816.0,4.8,35.0,65.0,549.0,8.4,1.0,70.0,198.0,4.5,19.0,35.0,120.0,7.005,4.23,21.0,1,2009
376.0,2228.0,5.9,22.0,11.0,72.0,6.5,0.0,70.0,227.0,4.55,19.0,37.0,121.0,7.1,4.4,24.0,1,2009
410.0,2107.0,5.1,14.0,42.0,351.0,8.4,2.0,72.0,209.0,4.5,24.0,36.0,121.0,7.35,4.51,22.0,0,2009
374.0,1964.0,5.3,13.0,90.0,860.0,9.6,7.0,72.0,208.0,4.43,14.0,39.5,118.0,6.89,4.22,22.0,0,2009
523.0,2539.0,4.9,22.0,70.0,631.0,9.0,2.0,72.0,224.0,4.37,24.0,37.0,115.0,7.35,4.33,22.0,0,2009
843.0,4398.0,5.2,34.0,96.0,719.0,7.5,1.0,69.0,205.0,4.5,23.0,34.0,115.0,6.87,4.11,22.0,0,2009
753.0,3881.0,5.2,47.0,51.0,441.0,8.6,2.0,71.0,218.0,4.45,17.0,32.0,109.0,7.15,4.37,23.0,0,2009
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,70.0,200.0,4.44,21.0,36.0,125.0,6.82,4.08,25.0,0,2009
140.0,597.0,4.3,8.0,75.0,792.0,10.6,3.0,72.0,220.0,4.57,19.0,35.0,111.0,6.85,4.29,23.0,0,2009
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,69.0,223.0,4.51,25.0,33.5,116.0,7.005,4.23,23.0,0,2009
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,73.0,231.0,4.52,29.0,34.0,120.0,6.86,4.2,24.0,0,2009
606.0,3547.0,5.9,32.0,123.0,1420.0,11.5,11.0,71.0,196.0,4.37,18.0,35.0,120.0,7.005,4.23,23.0,1,2010
534.0,3280.0,6.1,39.0,19.0,268.0,14.1,2.0,72.0,218.0,4.37,19.0,36.0,121.0,7.0,4.33,22.0,1,2010
364.0,2668.0,7.3,29.0,62.0,533.0,8.6,6.0,70.0,199.0,4.34,18.0,32.5,113.0,6.75,4.17,21.0,0,2010
671.0,3522.0,5.2,44.0,39.0,395.0,10.1,0.0,72.0,231.0,4.5,22.0,38.0,118.0,6.94,4.25,23.0,0,2010
678.0,3321.0,4.9,24.0,53.0,336.0,6.3,0.0,71.0,220.0,4.34,26.0,40.5,124.0,6.91,4.12,22.0,0,2010
560.0,2391.0,4.3,26.0,38.0,405.0,10.7,1.0,72.0,225.0,4.49,21.0,41.0,124.0,6.87,4.14,23.0,0,2010
347.0,2213.0,6.4,13.0,66.0,542.0,8.2,2.0,71.0,198.0,4.4,18.0,36.5,120.0,7.005,4.23,22.0,0,2010
910.0,3994.0,4.4,42.0,56.0,449.0,8.0,4.0,73.0,233.0,4.67,15.0,33.0,121.0,7.09,4.49,22.0,0,2010
517.0,3226.0,6.2,35.0,15.0,263.0,17.5,1.0,71.0,229.0,4.64,15.0,33.0,107.0,7.56,4.67,21.0,0,2010
523.0,2436.0,4.7,28.0,93.0,672.0,7.2,3.0,74.0,218.0,4.5,15.0,36.0,119.0,6.89,4.23,24.0,1,2010
572.0,3261.0,5.7,42.0,60.0,670.0,11.2,4.0,69.0,215.0,4.62,21.0,31.5,118.0,7.13,4.62,21.0,1,2011
403.0,2132.0,5.3,30.0,26.0,289.0,11.1,2.0,69.0,212.0,4.59,19.0,40.0,123.0,6.96,4.18,21.0,0,2011
556.0,2834.0,5.1,29.0,74.0,674.0,9.1,6.0,70.0,210.0,4.49,31.0,34.0,115.0,6.95,4.28,22.0,0,2011
424.0,2557.0,6.0,23.0,37.0,439.0,11.9,5.0,72.0,227.0,4.56,21.0,38.0,122.0,6.82,4.4,21.0,0,2011
545.0,2850.0,5.2,30.0,52.0,428.0,8.2,0.0,72.0,230.0,4.62,21.0,35.0,120.0,7.005,4.23,23.0,0,2011
759.0,3685.0,4.9,50.0,157.0,1571.0,10.0,13.0,72.0,213.0,4.37,21.0,34.5,124.0,7.28,4.18,23.0,1,2011
306.0,1419.0,4.6,19.0,17.0,94.0,5.5,0.0,71.0,225.0,4.65,18.0,36.0,118.0,6.78,4.21,22.0,1,2011
232.0,1652.0,7.1,20.0,38.0,461.0,12.1,2.0,72.0,225.0,4.45,20.0,34.0,114.0,6.91,4.15,23.0,0,2011
578.0,3404.0,5.9,28.0,54.0,501.0,9.3,0.0,71.0,219.0,4.4,11.0,36.5,119.0,6.67,4.01,22.0,0,2011
708.0,4181.0,5.9,37.0,63.0,519.0,8.2,2.0,67.0,199.0,4.46,24.0,35.0,122.0,6.74,4.21,22.0,0,2011
646.0,3104.0,4.8,24.0,28.0,208.0,7.4,1.0,69.0,222.0,4.54,27.0,37.0,120.0,6.92,4.07,24.0,0,2011
519.0,2867.0,5.5,27.0,49.0,444.0,9.2,2.0,72.0,194.0,4.33,13.0,35.0,120.0,7.005,4.23,23.0,0,2011
436.0,2338.0,5.4,19.0,45.0,344.0,7.6,3.0,70.0,207.0,4.51,18.0,35.0,120.0,7.005,4.23,22.0,1,2011
311.0,1311.0,4.2,12.0,50.0,398.0,8.0,3.0,71.0,233.0,4.53,24.0,36.5,120.0,7.16,4.39,21.0,0,2011
225.0,1119.0,5.0,7.0,39.0,447.0,11.5,0.0,70.0,209.0,4.5,19.0,32.5,117.0,7.07,4.31,23.0,0,2011
788.0,3877.0,4.9,46.0,151.0,1056.0,7.0,5.0,66.0,196.0,4.59,19.0,33.0,113.0,7.31,4.26,21.0,0,2011
544.0,2860.0,5.3,30.0,52.0,405.0,7.8,1.0,67.0,193.0,4.56,17.0,34.5,112.0,6.9,4.18,20.0,0,2011
686.0,3932.0,5.7,29.0,61.0,562.0,9.2,3.0,72.0,212.0,4.65,20.0,34.0,113.0,7.07,4.18,23.0,0,2011
267.0,1585.0,5.9,16.0,14.0,176.0,12.6,4.0,71.0,242.0,4.53,28.0,29.0,113.0,6.97,4.39,23.0,0,2011
430.0,2401.0,5.6,17.0,48.0,509.0,10.6,4.0,71.0,211.0,4.4,19.0,34.0,117.0,7.15,4.2,23.0,0,2011
546.0,3036.0,5.6,33.0,33.0,401.0,12.2,5.0,73.0,228.0,4.56,24.0,41.5,120.0,6.79,4.06,23.0,0,2011
540.0,3130.0,5.8,35.0,68.0,730.0,10.7,7.0,69.0,228.0,4.48,19.0,35.0,120.0,7.005,4.23,22.0,0,2012
617.0,3431.0,5.6,43.0,67.0,715.0,10.7,4.0,69.0,223.0,4.46,28.0,36.0,120.0,6.79,4.16,23.0,1,2012
462.0,2662.0,5.8,18.0,37.0,363.0,9.8,5.0,70.0,206.0,4.38,19.0,41.0,132.0,7.09,4.12,21.0,0,2012
545.0,3288.0,6.0,27.0,87.0,721.0,8.3,6.0,70.0,197.0,4.39,19.0,33.0,116.0,6.95,4.32,22.0,0,2012
771.0,5082.0,6.6,53.0,51.0,586.0,11.5,4.0,68.0,194.0,4.35,15.0,35.0,123.0,6.88,4.12,22.0,0,2012
573.0,3243.0,5.7,36.0,33.0,338.0,10.2,2.0,69.0,200.0,4.42,17.0,37.0,120.0,7.005,4.23,20.0,0,2012
