rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,54.0,830.0,15.4,12.0,25.2,76.0,255.0,4.75,21.0,29.0,110.0,7.34,4.29,23.0,2.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,90.0,1213.0,13.5,5.0,37.9,75.0,247.0,4.88,18.0,29.5,112.0,7.58,4.28,23.0,25.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,53.0,598.0,11.3,0.0,13.9,79.0,270.0,4.76,22.0,32.5,115.0,6.84,4.17,23.0,0.0,2002
488.0,2336.0,4.8,21.0,27.0,200.0,7.4,1.0,122.0,1807.0,14.4,14.5,46.2,68.0,194.0,4.6,15.0,32.0,121.0,7.0,4.245,24.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,189.0,2877.0,15.2,29.0,65.4,74.0,225.0,4.7,18.0,34.5,118.0,7.12,4.02,22.0,1.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,6.0,79.0,13.2,1.0,7.2,75.0,265.0,4.77,21.0,38.5,117.0,7.0,4.245,22.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,110.0,1591.0,14.5,7.0,36.2,71.0,193.0,4.45,18.0,33.0,114.0,6.65,4.26,24.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,71.0,1020.0,14.4,8.0,23.2,73.0,203.0,4.47,18.0,36.5,123.0,6.83,4.09,23.0,3.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,131.0,1986.0,15.2,10.0,49.7,73.0,200.0,4.49,18.0,35.0,120.0,7.0,4.245,22.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,31.0,480.0,15.5,3.0,17.8,75.0,265.0,4.79,20.0,33.5,111.0,7.43,4.43,22.0,4.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,40.0,564.0,14.1,6.0,24.5,77.0,253.0,4.97,14.0,31.0,114.0,7.37,4.27,23.0,2.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,146.0,1843.0,12.6,15.0,54.2,74.0,200.0,4.65,18.0,35.0,120.0,7.0,4.245,23.0,0.0,2002
409.0,1981.0,4.8,31.0,13.0,81.0,6.2,0.0,122.0,1807.0,14.4,14.5,46.2,71.0,218.0,4.42,21.0,40.5,124.0,6.96,3.93,22.0,3.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,48.0,481.0,10.0,3.0,15.0,76.0,262.0,4.8,18.0,35.0,120.0,7.0,4.245,23.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,200.0,2920.0,14.6,28.0,64.9,73.0,190.0,4.55,18.0,32.5,119.0,7.08,4.17,23.0,2.0,2002
482.0,2117.0,4.4,13.0,23.0,226.0,9.8,0.0,122.0,1807.0,14.4,14.5,46.2,69.0,209.0,4.46,19.0,33.0,112.0,6.9,4.08,22.0,0.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,63.0,867.0,13.8,4.0,19.3,71.0,186.0,4.47,18.0,41.0,129.0,6.84,4.04,22.0,0.0,2002
803.0,4646.0,5.8,55.0,61.0,554.0,9.1,5.0,122.0,1807.0,14.4,14.5,46.2,71.0,213.0,4.58,22.0,33.0,114.0,7.0,4.245,22.0,12.0,2002
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,59.0,584.0,9.9,0.0,22.5,76.0,260.0,4.84,18.0,31.5,104.0,7.0,4.245,22.0,0.0,2002
