Sk,Solo,Ast,Comb,TFL,Int,PD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
5.5,23.0,33.0,56.0,10.0,,,75.0,295.0,5.19,25.0,26.0,93.0,7.23,4.39,22.0,5.0,2009
24.0,125.0,90.0,215.0,49.5,,,76.0,307.0,5.03,32.0,35.5,105.0,7.21,4.44,23.0,59.0,2010
14.5,51.0,32.0,83.0,33.0,,,76.0,295.0,5.04,23.0,30.5,114.0,7.32,4.48,22.0,65.0,2010
8.0,139.0,135.0,274.0,31.5,,,75.0,254.0,4.68,24.0,33.0,116.0,7.23,4.39,21.0,15.0,2010
16.0,80.0,115.0,195.0,26.0,,,74.0,295.0,4.87,21.0,35.5,116.0,7.15,4.43,23.0,33.0,2010
29.5,86.0,52.0,138.0,56.0,,,73.0,268.0,4.71,31.0,33.0,116.0,7.23,4.39,22.0,59.0,2010
6.5,27.0,18.0,45.0,16.5,,,77.0,270.0,4.71,19.0,30.5,115.0,7.18,4.67,21.0,46.0,2010
19.5,74.0,41.0,115.0,29.5,,,75.0,266.0,4.77,24.0,34.0,112.0,7.12,4.43,21.0,40.0,2010
12.0,233.0,173.0,406.0,44.0,,,73.0,239.0,4.62,34.0,40.0,123.0,6.99,4.38,22.0,22.0,2010
7.0,79.0,81.0,160.0,25.0,,,74.0,327.0,5.19,27.0,32.0,96.0,7.88,4.87,23.0,20.0,2010
14.5,47.0,57.0,104.0,25.5,,,77.0,304.0,5.03,26.0,29.0,106.0,7.22,4.59,22.0,20.0,2010
28.5,83.0,59.0,142.0,40.5,,,74.0,255.0,4.65,26.0,34.5,118.0,6.99,4.15,22.0,3.0,2010
12.5,75.0,22.0,97.0,44.5,,,73.0,303.0,5.12,34.0,28.5,96.0,7.23,4.39,21.0,4.0,2010
10.5,94.0,112.0,206.0,26.0,,,75.0,251.0,4.75,24.0,38.0,127.0,7.07,4.27,23.0,30.0,2010
16.5,107.0,44.0,151.0,33.5,,,75.0,250.0,4.65,25.0,36.5,118.0,7.26,4.53,22.0,0.0,2010
14.0,86.0,50.0,136.0,35.5,,,75.0,305.0,4.84,30.0,33.5,114.0,7.61,4.71,23.0,25.0,2010
6.5,57.0,86.0,143.0,29.5,,,76.0,328.0,5.09,39.0,30.0,100.0,8.12,4.71,21.0,16.0,2010
5.5,148.0,72.0,220.0,20.5,,,74.0,230.0,4.58,17.0,31.0,114.0,7.23,4.39,23.0,34.0,2010
15.0,61.0,67.0,128.0,34.0,,,73.0,254.0,4.65,24.0,38.0,114.0,6.95,4.29,22.0,22.0,2010
18.5,79.0,72.0,151.0,33.0,,,75.0,266.0,4.89,24.0,33.0,116.0,7.23,4.39,22.0,8.0,2010
