Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
9.0,14.5,60.0,71.0,219.0,4.52,22.0,36.0,122.0,6.94,4.16,24.0,31.0,2005
5.0,14.5,60.0,72.0,185.0,4.36,14.0,39.5,125.0,6.94,4.16,22.0,5.0,2005
8.0,14.5,60.0,71.0,198.0,4.52,16.0,38.0,120.0,6.94,3.9,23.0,12.0,2005
3.0,14.5,60.0,72.0,204.0,4.35,15.0,41.5,125.0,7.09,3.91,22.0,6.0,2005
9.0,14.5,60.0,69.0,192.0,4.45,12.0,42.0,124.0,6.8,4.07,22.0,25.0,2005
7.0,14.5,60.0,68.0,172.0,4.37,13.0,43.0,137.0,6.99,3.9,22.0,4.0,2005
8.0,14.5,60.0,71.0,184.0,4.34,14.0,41.0,125.0,6.78,3.89,22.0,8.0,2005
6.0,14.5,60.0,72.0,212.0,4.5,19.0,37.0,117.0,7.09,3.92,22.0,10.0,2005
11.0,14.5,60.0,71.0,190.0,4.49,10.0,40.0,126.0,7.17,4.07,23.0,0.0,2005
2.0,14.5,60.0,73.0,194.0,4.54,16.0,35.0,120.0,6.95,3.97,22.0,10.0,2005
8.0,14.5,60.0,73.0,189.0,4.44,16.0,36.0,122.0,6.94,4.16,23.0,8.0,2005
7.0,14.5,60.0,70.0,205.0,4.45,19.0,38.0,118.0,7.12,4.21,23.0,1.0,2005
3.0,14.5,60.0,71.0,220.0,4.47,21.0,35.0,121.0,7.18,4.04,22.0,3.0,2005
11.0,14.5,60.0,74.0,209.0,4.56,12.0,42.0,123.0,6.94,4.12,23.0,36.0,2005
3.0,14.5,60.0,73.0,212.0,4.56,18.0,36.0,122.0,6.94,4.16,23.0,1.0,2005
7.0,14.5,60.0,68.0,189.0,4.43,12.0,36.0,122.0,6.94,4.16,23.0,1.0,2005
1.0,14.5,60.0,72.0,214.0,4.44,17.0,46.0,133.0,6.94,4.16,22.0,10.0,2005
7.0,14.5,60.0,72.0,204.0,4.34,21.0,40.5,125.0,6.94,4.16,23.0,33.0,2006
5.0,14.5,60.0,70.0,204.0,4.4,18.0,40.0,132.0,6.94,4.16,21.0,19.0,2006
5.0,14.5,60.0,70.0,185.0,4.34,16.0,41.0,129.0,6.63,4.01,24.0,7.0,2006
4.0,2.0,60.0,73.0,209.0,4.39,17.0,39.5,131.0,6.75,3.81,23.0,9.0,2006
5.0,14.5,60.0,74.0,208.0,4.47,18.0,38.0,132.0,6.94,4.16,22.0,26.0,2006
4.0,14.5,60.0,71.0,193.0,4.31,15.0,37.0,123.0,6.92,4.23,22.0,19.0,2006
6.0,14.5,60.0,71.0,178.0,4.39,16.0,40.0,120.0,6.94,4.0,23.0,17.0,2006
9.0,14.5,60.0,74.0,213.0,4.44,16.0,36.0,122.0,6.94,4.16,22.0,5.0,2006
8.0,14.5,60.0,72.0,212.0,4.38,18.0,38.0,124.0,6.91,4.16,23.0,7.0,2006
6.0,14.5,60.0,71.0,202.0,4.48,17.0,39.0,123.0,7.23,4.07,24.0,21.0,2006
5.0,14.5,60.0,72.0,198.0,4.5,19.0,36.0,122.0,6.94,4.16,23.0,40.0,2006
3.0,14.5,60.0,72.0,199.0,4.51,17.0,35.5,125.0,6.84,4.1,23.0,23.0,2006
4.0,14.5,60.0,74.0,224.0,4.57,16.0,36.5,131.0,6.94,4.16,21.0,11.0,2006
9.0,14.5,60.0,71.0,189.0,4.42,12.0,37.0,129.0,6.65,4.16,21.0,23.0,2006
10.0,14.5,60.0,68.0,185.0,4.32,17.0,37.5,117.0,6.94,4.16,22.0,9.0,2006
5.0,14.5,60.0,72.0,189.0,4.44,16.0,36.0,122.0,6.94,4.16,22.0,5.0,2006
