draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2012,235,7,WR,52.0,23.0,0.2244897959183672,,,,,,,,,,,,,,,,,,173.0,2400.0,13.9,21.0,46.2,,,,,,,
2012,230,7,LB,52.0,24.0,13.333333333333334,,,,,,,,,,,,,,,,,,,,,,,5.0,100.0,105.0,205.0,14.5,,
2022,228,7,DB,52.0,23.0,-1.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0
2022,46,2,LB,52.0,22.0,6.130952380952381,,,,,,,,,,,,,,,,,,,,,,,13.5,73.0,66.0,139.0,37.0,,
2012,220,7,DB,52.0,23.0,21.783870967741933,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0
2008,28,1,DL,52.0,23.0,-22.1,,,,,,,,,,,,,,,,,,,,,,,24.5,89.0,59.0,148.0,40.5,,
2022,237,7,DB,52.0,25.0,4.979166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,28.0
2012,7,1,DB,52.0,22.0,28.963636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0
2012,31,1,RB,52.0,23.0,22.11,,,,,,,,,,617.0,3431.0,5.6,43.0,67.0,715.0,10.7,4.0,,,,,,,,,,,,
2005,35,2,WR,52.0,24.0,-10.975,,,,,,,,,,,,,,,,,,144.0,2008.0,13.9,12.0,38.6,,,,,,,
2011,240,7,RB,52.0,23.0,25.766666666666666,,,,,,,,,,81.0,509.0,6.3,3.0,116.0,1290.0,11.1,12.0,,,,,,,,,,,,
2021,171,5,DL,52.0,23.0,19.52745098039216,,,,,,,,,,,,,,,,,,,,,,,9.0,54.0,41.0,95.0,20.5,,
2013,142,5,DL,52.0,23.0,22.05,,,,,,,,,,,,,,,,,,,,,,,10.5,41.0,55.0,96.0,20.0,,
2012,140,5,LB,52.0,23.0,11.5,,,,,,,,,,,,,,,,,,,,,,,8.0,80.0,77.0,157.0,22.5,,
2014,40,2,LB,52.0,23.0,9.1,,,,,,,,,,,,,,,,,,,,,,,25.0,157.0,69.0,226.0,61.5,,
2014,23,1,DL,52.0,23.0,17.4,,,,,,,,,,,,,,,,,,,,,,,20.5,60.0,33.0,93.0,27.5,,
2012,115,4,DB,52.0,23.0,11.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0
2012,142,5,LB,52.0,22.0,5.8500000000000005,,,,,,,,,,,,,,,,,,,,,,,6.0,147.0,112.0,259.0,33.5,,
2006,184,6,DB,52.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2014,68,3,DB,52.0,23.0,18.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0
2014,130,4,RB,52.0,22.0,13.162962962962965,,,,,,,,,,643.0,4015.0,6.2,45.0,73.0,670.0,9.2,3.0,,,,,,,,,,,,
2013,103,4,DL,52.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,88.0,62.0,150.0,34.0,,
2013,99,4,LB,52.0,23.0,31.3,,,,,,,,,,,,,,,,,,,,,,,2.0,87.0,76.0,163.0,16.5,,
2013,132,4,DL,52.0,23.0,16.165517241379312,,,,,,,,,,,,,,,,,,,,,,,18.5,107.0,54.0,161.0,35.5,,
2013,57,2,DB,52.0,22.0,18.84090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0
2013,118,4,LB,52.0,22.0,28.8,,,,,,,,,,,,,,,,,,,,,,,14.5,148.0,113.0,261.0,34.5,,
2012,157,5,RB,52.0,22.0,21.27142857142857,,,,,,,,,,7.0,33.0,4.7,2.0,28.0,328.0,11.7,2.0,,,,,,,,,,,,
2011,166,6,LB,52.0,23.0,10.7,,,,,,,,,,,,,,,,,,,,,,,9.5,246.0,203.0,449.0,35.5,,
2011,174,6,RB,52.0,22.0,1.0777777777777775,,,,,,,,,,179.0,911.0,5.1,10.0,189.0,2544.0,13.5,28.0,,,,,,,,,,,,
2020,199,6,S,52.0,22.0,28.453488372093023,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0
2020,193,6,DT,52.0,23.0,22.45483870967742,,,,,,,,,,,,,,,,,,,,,,,14.0,49.0,72.0,121.0,20.0,,
2014,249,7,DL,52.0,24.0,2.4083333333333337,,,,,,,,,,,,,,,,,,,,,,,17.0,59.0,51.0,110.0,31.5,,
2011,225,7,RB,52.0,23.0,14.1,,,,,,,,,,546.0,3036.0,5.6,33.0,33.0,401.0,12.2,5.0,,,,,,,,,,,,
2011,185,6,LB,52.0,22.0,-3.822222222222222,,,,,,,,,,,,,,,,,,,,,,,16.5,236.0,229.0,465.0,46.5,,
2015,45,2,LB,52.0,23.0,16.272727272727273,,,,,,,,,,,,,,,,,,,,,,,10.0,307.0,174.0,481.0,26.0,,
2011,187,6,RB,52.0,23.0,26.22,,,,,,,,,,267.0,1585.0,5.9,16.0,14.0,176.0,12.6,4.0,,,,,,,,,,,,
2014,163,5,QB,52.0,23.0,24.39433962264151,921.0,1478.0,62.3,13166.0,121.0,41.0,8.9,9.3,253.2,,,,,,,,,,,,,,,,,,,,
2014,141,5,DL,52.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,16.0,97.0,76.0,173.0,22.0,,
2014,174,5,DL,52.0,23.0,15.2,,,,,,,,,,,,,,,,,,,,,,,12.5,96.0,99.0,195.0,26.0,,
2011,78,3,WR,52.0,23.0,21.244642857142857,,,,,,,,,,,,,,,,,,229.0,2838.0,12.4,39.0,54.6,,,,,,,
2015,230,7,RB,52.0,23.0,13.777142857142858,,,,,,,,,,337.0,1957.0,5.8,16.0,50.0,318.0,6.4,2.0,,,,,,,,,,,,
2019,234,7,RB,52.0,22.0,19.5,,,,,,,,,,945.0,5323.0,5.6,57.0,65.0,465.0,7.2,5.0,,,,,,,,,,,,
2016,83,3,LB,52.0,22.0,8.488888888888889,,,,,,,,,,,,,,,,,,,,,,,19.0,108.0,97.0,205.0,40.0,,
2009,147,5,DB,52.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
2011,148,5,WR,52.0,22.0,12.9875,,,,,,,,,,,,,,,,,,112.0,2004.0,17.9,18.0,38.5,,,,,,,
2015,154,5,DL,52.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,14.5,95.0,65.0,160.0,27.5,,
2020,98,3,LB,52.0,22.0,28.348571428571425,,,,,,,,,,,,,,,,,,,,,,,10.0,136.0,69.0,205.0,29.0,,
